timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,59.9,60.48,59.755,60.32,60.32,2385680,0.0000,1.0
2021-07-08,59.22,59.52,58.71,59.13,59.13,2083422,0.0000,1.0
2021-07-07,59.1,59.995,58.95,59.9,59.9,1994674,0.0000,1.0
2021-07-06,60.34,60.45,59.15,59.45,59.45,2042867,0.0000,1.0
2021-07-02,60.79,60.9,60.24,60.63,60.63,1639904,0.0000,1.0
2021-07-01,61.0,61.27,60.645,60.71,60.71,2828913,0.0000,1.0
2021-06-30,60.5,60.8,60.18,60.6,60.6,2569464,0.0000,1.0
2021-06-29,61.07,61.56,60.39,60.6,60.6,2257607,0.0000,1.0
2021-06-28,61.52,61.7,60.725,60.79,60.79,2442160,0.0000,1.0
2021-06-25,61.8,61.9,60.75,61.46,61.46,2501435,0.0000,1.0
2021-06-24,61.5,61.995,61.25,61.69,61.69,1520229,0.0000,1.0
2021-06-23,61.68,61.745,61.23,61.26,61.26,2133425,0.0000,1.0
2021-06-22,62.05,62.13,61.37,61.64,61.64,2243409,0.0000,1.0
2021-06-21,61.02,62.01,61.02,61.84,61.84,2560412,0.0000,1.0
2021-06-18,61.37,61.43,60.52,60.66,60.66,5417273,0.0000,1.0
2021-06-17,63.81,63.84,60.95,61.93,61.93,4029295,0.0000,1.0
2021-06-16,64.55,64.59,63.82,63.99,63.99,2550441,0.0000,1.0
2021-06-15,65.22,65.4,64.28,64.64,64.64,3015693,0.0000,1.0
2021-06-14,65.83,65.9,64.83,65.22,65.22,1853065,0.0000,1.0
2021-06-11,67.19,67.36,65.57,66.0,66.0,3061243,0.0000,1.0
2021-06-10,68.36,68.48,67.1,67.23,67.23,2167922,0.0000,1.0
2021-06-09,68.44,68.61,67.98,68.11,68.11,1343767,0.0000,1.0
2021-06-08,68.48,68.92,68.1,68.73,68.73,1957822,0.0000,1.0
2021-06-07,68.9,69.3,68.46,68.66,68.66,1698645,0.0000,1.0
2021-06-04,68.47,68.98,68.35,68.77,68.77,1696525,0.0000,1.0
2021-06-03,67.9,68.31,67.165,68.25,68.25,2162976,0.0000,1.0
2021-06-02,68.22,68.23,67.42,67.92,67.92,2217989,0.0000,1.0
2021-06-01,67.15,68.22,67.03,67.92,67.92,3118114,0.0000,1.0
2021-05-28,66.91,66.91,66.43,66.53,66.53,1944189,0.0000,1.0
2021-05-27,66.96,67.56,66.47,66.6,66.6,4793534,0.0000,1.0
2021-05-26,66.33,66.61,65.57,66.49,66.49,3184122,0.0000,1.0
2021-05-25,66.91,67.03,66.52,66.59,66.59,1935941,0.0000,1.0
2021-05-24,67.05,67.2,66.58,66.62,66.62,2349110,0.0000,1.0
2021-05-21,66.44,67.435,66.31,66.98,66.98,3776421,0.0000,1.0
2021-05-20,66.43,66.59,66.005,66.14,66.14,2864502,0.0000,1.0
2021-05-19,66.49,66.62,65.07,66.43,66.43,2290050,0.0000,1.0
2021-05-18,67.35,68.04,67.0,67.03,67.03,1972972,0.3700,1.0
2021-05-17,67.68,67.87,67.12,67.64,67.2686824926,1914807,0.0000,1.0
2021-05-14,67.56,67.89,67.29,67.66,67.2885727003,1746322,0.0000,1.0
2021-05-13,66.48,67.41,66.28,67.14,66.7714272997,2709638,0.0000,1.0
2021-05-12,66.76,67.23,66.25,66.5,66.1349406528,2160277,0.0000,1.0
2021-05-11,67.41,67.73,66.05,66.89,66.5227997033,2383072,0.0000,1.0
