timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-21,31.04,31.3,30.64,30.7,30.7,420145,0.0000,1.0
2021-07-20,30.74,31.49,30.59,30.94,30.94,729511,0.0000,1.0
2021-07-19,29.8,30.53,29.61,30.52,30.52,761905,0.0000,1.0
2021-07-16,30.52,30.73,30.0,30.0,30.0,793896,0.0000,1.0
2021-07-15,30.38,30.7,29.96,30.42,30.42,989261,0.0000,1.0
2021-07-14,30.58,30.88,29.9086,30.4,30.4,1254020,0.0000,1.0
2021-07-13,31.15,31.33,30.522,30.64,30.64,682355,0.0000,1.0
2021-07-12,31.57,31.83,31.14,31.16,31.16,544484,0.0000,1.0
2021-07-09,31.34,31.78,31.23,31.54,31.54,580144,0.0000,1.0
2021-07-08,30.5,31.31,30.42,31.2,31.2,677689,0.0000,1.0
2021-07-07,30.77,31.0,30.42,30.79,30.79,417715,0.0000,1.0
2021-07-06,31.0,31.0,30.37,30.89,30.89,647153,0.0000,1.0
2021-07-02,31.56,31.73,30.96,31.04,31.04,713642,0.0000,1.0
2021-07-01,32.74,32.74,31.64,31.66,31.66,1035118,0.0000,1.0
2021-06-30,32.89,33.24,32.6,32.8,32.8,587257,0.0000,1.0
2021-06-29,32.8,33.2,32.54,32.72,32.72,555697,0.4750,1.0
2021-06-28,33.65,33.76,33.18,33.28,32.8037837024,748764,0.0000,1.0
2021-06-25,33.48,33.76,33.24,33.58,33.0994908872,3067003,0.0000,1.0
2021-06-24,32.96,33.4,32.89,33.13,32.65593011,620096,0.0000,1.0
2021-06-23,33.45,33.45,32.77,32.92,32.4489350806,815311,0.0000,1.0
2021-06-22,33.07,33.5401,32.97,33.25,32.7742129839,627329,0.0000,1.0
2021-06-21,33.13,33.39,32.62,33.13,32.65593011,754658,0.0000,1.0
2021-06-18,33.38,33.4287,32.4,33.13,32.65593011,1282613,0.0000,1.0
2021-06-17,33.33,33.89,32.87,33.44,32.9614942009,986923,0.0000,1.0
2021-06-16,33.5,33.82,32.47,33.24,32.7643560777,1232162,0.0000,1.0
2021-06-15,34.96,36.522,33.27,33.86,33.3754842597,4512784,0.0000,1.0
2021-06-14,33.17,34.17,32.53,34.07,33.582479289,1605552,0.0000,1.0
2021-06-11,32.84,33.29,32.7,32.99,32.5179334237,1021608,0.0000,1.0
2021-06-10,33.74,33.74,32.24,32.75,32.2813676759,1393800,0.0000,1.0
2021-06-09,32.88,34.08,32.66,33.62,33.1389185118,2476813,0.0000,1.0
2021-06-08,32.53,33.22,32.258,32.92,32.4489350806,971421,0.0000,1.0
2021-06-07,31.67,32.42,31.45,32.42,31.9560897726,1013880,0.0000,1.0
2021-06-04,32.15,32.3,31.34,31.37,30.9211146257,1097554,0.0000,1.0
2021-06-03,33.16,33.6,31.82,32.08,31.6209549631,2352521,0.0000,1.0
2021-06-02,30.36,36.4095,30.15,34.12,33.6317638199,7556163,0.0000,1.0
2021-06-01,30.22,30.8644,30.03,30.2,29.7678566049,904316,0.0000,1.0
2021-05-28,30.03,30.89,30.0,30.6,30.1621328513,1071989,0.0000,1.0
2021-05-27,30.25,30.35,29.705,29.9,29.4721494201,850324,0.0000,1.0
2021-05-26,29.52,30.31,29.47,30.31,29.8762825727,956846,0.0000,1.0
2021-05-25,29.4,29.49,29.0,29.41,28.9891610182,768579,0.0000,1.0
2021-05-24,29.44,29.66,29.1701,29.34,28.9201626751,550312,0.0000,1.0
2021-05-21,29.62,29.87,29.27,29.31,28.8905919566,487213,0.0000,1.0
2021-05-20,29.64,29.99,29.53,29.61,29.1862991414,697808,0.0000,1.0
2021-05-19,29.38,29.62,29.05,29.58,29.156728423,717155,0.0000,1.0
2021-05-18,29.02,29.67,29.01,29.44,29.0187317367,706499,0.0000,1.0
2021-05-17,30.01,30.0299,29.05,29.05,28.6343123964,1046808,0.0000,1.0
2021-05-14,29.34,30.21,29.32,30.02,29.590432294,1210290,0.0000,1.0
2021-05-13,28.54,29.335,28.3315,29.27,28.851164332,870056,0.0000,1.0
2021-05-12,28.51,29.4,27.85,28.64,28.2301792439,1981269,0.0000,1.0
2021-05-11,28.98,29.08,28.51,28.63,28.2203223377,1519461,0.0000,1.0
2021-05-10,29.43,29.54,28.98,29.08,28.6638831149,932434,0.0000,1.0
2021-05-07,29.49,29.56,29.22,29.35,28.9300195813,1201267,0.0000,1.0
2021-05-06,29.5,30.0,29.31,29.64,29.2158698599,1257990,0.0000,1.0
2021-05-05,29.5,29.55,28.92,29.31,28.8905919566,916600,0.0000,1.0
2021-05-04,29.05,29.35,28.66,29.33,28.9103057689,701128,0.0000,1.0
2021-05-03,29.2,29.39,28.84,28.98,28.5653140533,836393,0.0000,1.0
2021-04-30,29.44,29.44,28.91,29.18,28.7624521765,821013,0.0000,1.0
2021-04-29,29.42,29.505,29.1,29.43,29.0088748305,597088,0.0000,1.0
2021-04-28,29.05,29.37,28.945,29.05,28.6343123964,662594,0.0000,1.0
2021-04-27,29.45,29.55,28.93,28.99,28.5751709595,1267962,0.0000,1.0
2021-04-26,29.99,30.01,29.3,29.51,29.0877300798,829847,0.0000,1.0
2021-04-23,30.33,30.39,29.51,29.83,29.403151077,992082,0.0000,1.0
2021-04-22,30.46,30.67,30.21,30.39,29.955137822,586411,0.0000,1.0
2021-04-21,30.34,30.93,30.3,30.49,30.0537068836,641511,0.0000,1.0
2021-04-20,30.0,30.44,29.97,30.26,29.8269980419,598025,0.0000,1.0
2021-04-19,30.14,30.29,29.83,30.17,29.7382858864,606632,0.0000,1.0
2021-04-16,29.75,30.12,29.3661,30.07,29.6397168248,892425,0.0000,1.0
2021-04-15,29.91,29.9299,29.47,29.89,29.4622925139,577013,0.0000,1.0
2021-04-14,29.68,30.03,29.31,29.74,29.3144389215,875032,0.0000,1.0
2021-04-13,30.0,30.44,29.55,29.68,29.2552974846,807107,0.0000,1.0
2021-04-12,29.68,30.3,29.55,30.01,29.5805753879,881432,0.0000,1.0
2021-04-09,29.58,29.7817,29.17,29.53,29.1074438922,1082126,0.0000,1.0
2021-04-08,30.21,30.22,29.52,29.75,29.3242958277,1220284,0.0000,1.0
