timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,23.88,24.06,23.82,24.03,24.03,989458,0.0000,1.0
2021-07-08,23.91,24.07,23.69,23.79,23.79,1632892,0.0000,1.0
2021-07-07,24.07,24.21,23.945,23.95,23.95,930188,0.0000,1.0
2021-07-06,24.3,24.3,24.065,24.12,24.12,1362769,0.0000,1.0
2021-07-02,24.12,24.34,24.01,24.25,24.25,840212,0.0000,1.0
2021-07-01,24.19,24.26,24.04,24.12,24.12,855816,0.0000,1.0
2021-06-30,23.99,24.42,23.99,24.2,24.2,1534531,0.0000,1.0
2021-06-29,24.21,24.24,23.95,24.06,24.06,1678495,0.0000,1.0
2021-06-28,24.09,24.3,24.01,24.22,24.22,1048172,0.0000,1.0
2021-06-25,23.69,24.19,23.69,24.17,24.17,2183097,0.0000,1.0
2021-06-24,23.61,24.02,23.47,23.74,23.74,1985098,0.0000,1.0
2021-06-23,23.9,23.92,23.63,23.64,23.64,947790,0.0000,1.0
2021-06-22,23.94,24.25,23.82,23.92,23.92,1396291,0.0000,1.0
2021-06-21,23.7,23.95,23.66,23.87,23.87,1586076,0.0000,1.0
2021-06-18,24.34,24.34,23.72,23.73,23.73,1887251,0.0000,1.0
2021-06-17,24.36,24.42,24.14,24.3,24.3,714091,0.0000,1.0
2021-06-16,24.57,24.7,24.35,24.41,24.41,562043,0.0000,1.0
2021-06-15,24.73,24.765,24.48,24.56,24.56,622277,0.0000,1.0
2021-06-14,24.64,24.76,24.5,24.67,24.67,715537,0.0000,1.0
2021-06-11,24.73,24.73,24.52,24.64,24.64,774837,0.0000,1.0
2021-06-10,24.54,24.71,24.44,24.64,24.64,673863,0.0000,1.0
2021-06-09,24.57,24.84,24.44,24.53,24.53,1094363,0.2100,1.0
2021-06-08,25.4,25.4,24.91,24.92,24.7084721099,1579268,0.0000,1.0
2021-06-07,25.16,25.26,25.0,25.16,24.9464349232,1041282,0.0000,1.0
2021-06-04,25.44,25.465,25.025,25.16,24.9464349232,1327411,0.0000,1.0
2021-06-03,25.04,25.48,25.01,25.43,25.2141430881,1971317,0.0000,1.0
