timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,176.55,177.21,176.1,176.75,176.75,779386,0.0000,1.0
2021-07-08,175.91,177.5,174.99,175.79,175.79,976373,0.0000,1.0
2021-07-07,175.08,178.36,174.94,176.57,176.57,1338826,0.0000,1.0
2021-07-06,174.11,175.42,173.0,175.1,175.1,879203,0.0000,1.0
2021-07-02,174.33,174.9088,173.65,174.0,174.0,661108,0.0000,1.0
2021-07-01,174.21,175.455,173.44,173.7,173.7,875448,0.0000,1.0
2021-06-30,172.0,174.4,171.9,174.18,174.18,1235399,0.0000,1.0
2021-06-29,174.18,174.88,171.52,172.0,172.0,998815,0.0000,1.0
2021-06-28,175.15,175.86,173.86,174.54,174.54,762241,0.0000,1.0
2021-06-25,172.55,175.3325,171.97,175.12,175.12,1778836,0.0000,1.0
2021-06-24,170.1,173.62,169.49,172.39,172.39,1959747,0.0000,1.0
2021-06-23,171.63,171.77,170.33,170.37,170.37,803588,0.0000,1.0
2021-06-22,172.84,173.56,172.09,172.27,172.27,615092,0.0000,1.0
2021-06-21,171.44,172.33,171.18,172.24,172.24,856905,0.0000,1.0
2021-06-18,172.53,172.53,170.37,170.49,170.49,1333279,0.0000,1.0
2021-06-17,172.67,173.76,171.54,173.51,173.51,502473,0.0000,1.0
2021-06-16,175.14,175.27,172.54,172.67,172.67,666793,0.0000,1.0
2021-06-15,174.81,175.07,173.86,174.85,174.85,434375,0.0000,1.0
2021-06-14,174.41,174.67,172.95,174.67,174.67,618452,0.0000,1.0
2021-06-11,175.08,175.08,173.4,174.8,174.8,443503,0.0000,1.0
2021-06-10,172.79,174.66,172.79,174.38,174.38,580131,0.0000,1.0
2021-06-09,173.11,173.59,172.54,172.86,172.86,553855,0.0000,1.0
2021-06-08,174.29,174.29,173.08,173.58,173.58,552612,0.0000,1.0
2021-06-07,175.4,175.4,172.81,173.99,173.99,648581,0.0000,1.0
2021-06-04,174.86,175.55,174.22,174.9,174.9,599121,0.0000,1.0
2021-06-03,173.26,174.63,172.66,174.54,174.54,758142,0.0000,1.0
2021-06-02,173.27,174.215,172.7301,173.54,173.54,767783,0.0000,1.0
2021-06-01,173.66,174.6,171.87,172.65,172.65,752196,0.0000,1.0
2021-05-28,173.52,174.22,173.02,173.05,173.05,871121,0.0000,1.0
2021-05-27,174.3,174.905,173.01,173.45,173.45,1026035,0.0000,1.0
2021-05-26,174.38,175.23,173.78,174.3,174.3,814801,0.0000,1.0
2021-05-25,174.08,174.75,172.275,174.72,174.72,766591,0.0000,1.0
2021-05-24,174.01,175.09,173.75,174.1,174.1,725464,0.0000,1.0
2021-05-21,173.58,174.74,173.26,173.76,173.76,904460,0.0000,1.0
2021-05-20,171.61,174.16,171.465,173.09,173.09,1006614,0.8040,1.0
2021-05-19,172.18,173.08,171.12,172.28,171.483462339,998850,0.0000,1.0
2021-05-18,172.32,174.2344,172.32,172.79,171.991104351,1372525,0.0000,1.0
2021-05-17,171.23,173.83,170.71,172.49,171.692491403,1123032,0.0000,1.0
