timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,80.43,80.95,79.99,80.82,80.82,463145,0.0000,1.0
2021-07-08,79.17,80.03,78.68,79.6,79.6,595139,0.0000,1.0
2021-07-07,79.54,80.6648,79.31,79.93,79.93,486016,0.0000,1.0
2021-07-06,80.17,80.21,79.42,79.79,79.79,513592,0.0000,1.0
2021-07-02,80.95,81.1,80.11,80.27,80.27,575914,0.0000,1.0
2021-07-01,80.81,81.42,80.39,80.78,80.78,529175,0.0000,1.0
2021-06-30,79.16,80.7,78.95,80.66,80.66,884403,0.0000,1.0
2021-06-29,80.3,80.33,79.16,79.28,79.28,419645,0.0000,1.0
2021-06-28,80.67,80.67,79.36,79.88,79.88,693640,0.0000,1.0
2021-06-25,80.03,80.92,79.85,80.68,80.68,1055823,0.0000,1.0
2021-06-24,79.14,80.13,78.42,80.03,80.03,704033,0.0000,1.0
2021-06-23,79.77,79.96,78.94,78.94,78.94,463982,0.0000,1.0
2021-06-22,79.8,79.93,78.79,79.81,79.81,892995,0.0000,1.0
2021-06-21,78.57,79.77,78.25,79.66,79.66,1708609,0.0000,1.0
2021-06-18,78.51,78.87,77.86,77.95,77.95,1657397,0.0000,1.0
2021-06-17,81.34,81.415,79.36,79.53,79.53,916330,0.0000,1.0
2021-06-16,82.52,82.75,81.04,81.38,81.38,452235,0.0000,1.0
2021-06-15,83.97,83.97,82.57,82.6,82.6,471675,0.0000,1.0
2021-06-14,83.52,83.67,82.92,83.43,83.43,714051,0.0000,1.0
2021-06-11,82.48,83.73,81.6,83.71,83.71,974614,0.0000,1.0
2021-06-10,82.88,82.88,81.92,82.07,82.07,1051064,0.0000,1.0
2021-06-09,83.52,83.81,82.47,82.5,82.5,676013,0.0000,1.0
2021-06-08,85.61,85.72,83.6,83.6,83.6,1027040,0.0000,1.0
2021-06-07,84.21,84.39,83.22,83.8,83.8,863373,0.0000,1.0
2021-06-04,83.97,84.17,83.45,84.0,84.0,421512,0.0000,1.0
2021-06-03,83.56,83.88,82.96,83.6,83.6,632925,0.0000,1.0
2021-06-02,83.95,84.63,83.32,84.14,84.14,780529,0.0000,1.0
2021-06-01,83.23,84.1,83.02,83.96,83.96,1194822,0.0000,1.0
2021-05-28,80.57,82.76,80.57,82.49,82.49,947567,0.0000,1.0
2021-05-27,80.93,81.5,80.0,80.25,80.25,1087200,0.0000,1.0
2021-05-26,80.54,80.97,80.28,80.68,80.68,531623,0.0000,1.0
2021-05-25,80.36,80.57,79.16,80.25,80.25,693682,0.0000,1.0
2021-05-24,80.41,81.36,80.17,80.43,80.43,750749,0.0000,1.0
2021-05-21,79.44,81.12,79.1,80.24,80.24,995351,0.0000,1.0
2021-05-20,77.33,78.48,76.77,77.56,77.56,1006320,0.0000,1.0
2021-05-19,76.99,77.24,75.82,77.14,77.14,658644,0.0000,1.0
2021-05-18,77.87,78.5,77.41,77.48,77.48,733704,0.0000,1.0
2021-05-17,77.84,78.66,76.83,77.68,77.68,696039,0.0000,1.0
2021-05-14,78.91,79.46,78.34,78.79,78.79,632247,0.0000,1.0
2021-05-13,76.63,78.8,76.63,78.4,78.4,832858,0.0000,1.0
2021-05-12,77.98,78.365,76.52,76.75,76.75,643504,0.0000,1.0
2021-05-11,78.5,78.6,77.75,78.14,78.14,684456,0.0000,1.0
2021-05-10,79.45,79.875,78.83,78.9,78.9,481868,0.0000,1.0
2021-05-07,77.76,79.07,77.69,78.97,78.97,655246,0.0000,1.0
2021-05-06,78.64,79.03,77.59,78.05,78.05,693908,0.2350,1.0
2021-05-05,79.12,79.24,78.01,78.64,78.4039343425,727500,0.0000,1.0
2021-05-04,81.39,81.53,77.93,78.86,78.623273935,1558651,0.0000,1.0
2021-05-03,80.67,82.12,80.67,81.29,81.0459794341,841192,0.0000,1.0
2021-04-30,80.49,81.62,80.39,80.5,80.2583508974,845132,0.0000,1.0
2021-04-29,80.0,81.16,79.47,80.59,80.3480807307,991595,0.0000,1.0
2021-04-28,80.62,81.15,79.47,79.68,79.4408124162,821966,0.0000,1.0
2021-04-27,81.42,81.84,80.36,80.46,80.2184709715,812353,0.0000,1.0
2021-04-26,81.75,82.19,80.89,81.61,81.3650188414,647638,0.0000,1.0
2021-04-23,80.49,81.65,80.2422,81.34,81.0958293415,406837,0.0000,1.0
2021-04-22,80.94,81.23,80.01,80.12,79.8794916012,428956,0.0000,1.0
2021-04-21,79.46,80.97,79.34,80.87,80.627240212,605083,0.0000,1.0
2021-04-20,79.2,79.86,78.38,79.16,78.9223733793,562444,0.0000,1.0
2021-04-19,80.74,81.04,79.27,79.73,79.4906623236,705905,0.0000,1.0
2021-04-16,79.18,80.75,79.18,80.61,80.3680206936,1213123,0.0000,1.0
2021-04-15,78.09,78.92,77.945,78.73,78.4936641758,1053896,0.0000,1.0
2021-04-14,77.63,78.79,77.2889,77.52,77.2872964169,826499,0.0000,1.0
2021-04-13,78.22,78.68,77.29,77.7,77.4667560835,790111,0.0000,1.0
2021-04-12,77.47,79.53,77.24,78.69,78.4537842499,1047207,0.0000,1.0
2021-04-09,77.51,77.8,76.3113,77.41,77.1776266207,904611,0.0000,1.0
2021-04-08,75.85,78.21,75.29,77.62,77.3869962317,2490442,0.0000,1.0
2021-04-07,79.13,80.41,77.68,77.99,77.7558855464,2575242,0.0000,1.0
2021-04-06,79.97,82.38,79.62,80.92,80.6770901194,1316170,0.0000,1.0
2021-04-05,81.32,81.8,79.62,80.6,80.3580507121,1439631,0.0000,1.0
2021-04-01,77.25,78.35,76.48,78.08,77.8456153797,2842690,0.0000,1.0
2021-03-31,78.55,79.26,77.41,77.48,77.247416491,1886440,0.0000,1.0
2021-03-30,79.19,80.25,78.64,78.92,78.6830938238,950548,0.0000,1.0
2021-03-29,79.65,80.45,79.05,79.19,78.9522833238,794763,0.0000,1.0
2021-03-26,80.4,81.27,79.5,80.64,80.3979306381,934708,0.0000,1.0
2021-03-25,77.91,80.06,77.13,79.8,79.5604521939,937657,0.0000,1.0
2021-03-24,78.11,80.99,77.69,77.99,77.7558855464,680325,0.0000,1.0
2021-03-23,78.71,79.46,77.25,78.0,77.7658555279,846878,0.0000,1.0
