timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,130.56,131.4,129.94,130.85,130.85,584502,0.0000,1.0
2021-07-08,128.73,130.46,128.39,129.53,129.53,641890,0.0000,1.0
2021-07-07,128.5,129.79,128.39,129.04,129.04,577389,0.0000,1.0
2021-07-06,129.25,129.73,127.285,128.58,128.58,548998,0.0000,1.0
2021-07-02,130.58,130.99,129.4,129.69,129.69,456191,0.0000,1.0
2021-07-01,129.35,131.3,129.0967,130.05,130.05,552733,0.0000,1.0
2021-06-30,130.15,131.39,129.08,129.57,129.57,1303447,0.0000,1.0
2021-06-29,130.87,131.73,129.52,130.14,130.14,608189,0.0000,1.0
2021-06-28,129.7,131.24,129.29,130.84,130.84,576466,0.0000,1.0
2021-06-25,128.1,129.79,127.98,129.42,129.42,786119,0.0000,1.0
2021-06-24,128.57,129.55,127.25,128.57,128.57,574826,0.0000,1.0
2021-06-23,130.0,130.68,129.06,129.06,129.06,612006,0.0000,1.0
2021-06-22,131.48,132.035,130.37,130.52,130.52,848096,0.0000,1.0
2021-06-21,130.68,131.68,130.57,131.12,131.12,673193,0.0000,1.0
2021-06-18,133.13,133.19,130.13,130.3,130.3,1372846,0.0000,1.0
2021-06-17,133.92,134.25,132.31,133.61,133.61,835292,0.0000,1.0
2021-06-16,135.05,135.4,133.69,133.78,133.78,688244,0.0000,1.0
2021-06-15,136.47,136.47,134.58,134.78,134.78,454228,0.0000,1.0
2021-06-14,136.24,136.24,133.97,136.1,136.1,505245,0.0000,1.0
2021-06-11,136.08,136.35,135.06,136.24,136.24,526126,0.0000,1.0
2021-06-10,136.33,136.67,135.31,135.68,135.68,622568,0.0000,1.0
2021-06-09,135.74,136.82,134.73,135.97,135.97,1070414,0.0000,1.0
2021-06-08,138.13,138.43,136.05,136.87,136.87,984505,0.0000,1.0
2021-06-07,139.8,140.16,136.56,138.13,138.13,899066,0.0000,1.0
2021-06-04,138.67,140.65,137.74,139.82,139.82,988046,0.0000,1.0
2021-06-03,136.69,139.45,136.18,137.88,137.88,1535234,0.0000,1.0
2021-06-02,133.51,136.375,133.145,135.93,135.93,1138280,0.0000,1.0
2021-06-01,133.46,134.71,132.83,133.51,133.51,1047965,0.0000,1.0
2021-05-28,132.82,135.57,132.66,133.29,133.29,1059874,0.0000,1.0
2021-05-27,134.44,135.19,132.07,132.52,132.52,1676990,0.0000,1.0
2021-05-26,134.94,135.29,134.16,134.5,134.5,713284,0.0000,1.0
2021-05-25,135.47,135.87,133.9,135.29,135.29,661023,0.0000,1.0
2021-05-24,135.64,136.88,135.2,135.61,135.61,577388,0.0000,1.0
2021-05-21,134.61,136.26,134.61,135.51,135.51,817245,0.0000,1.0
2021-05-20,135.3,136.08,134.595,134.81,134.81,568228,0.0000,1.0
2021-05-19,133.88,134.44,132.48,134.3,134.3,574568,0.0000,1.0
2021-05-18,133.32,134.59,133.1315,133.72,133.72,629100,0.0000,1.0
2021-05-17,135.5,136.08,132.86,133.51,133.51,1241448,0.0000,1.0
2021-05-14,136.42,137.87,135.29,135.33,135.33,837469,0.0000,1.0
2021-05-13,133.07,136.74,132.12,136.19,136.19,937912,0.9000,1.0
2021-05-12,136.88,137.27,134.525,134.8,133.915033919,1098344,0.0000,1.0
2021-05-11,139.09,139.14,135.57,136.82,135.921772558,849796,0.0000,1.0
2021-05-10,137.13,139.565,136.72,138.49,137.580808958,779906,0.0000,1.0
2021-05-07,136.13,137.15,135.13,136.6,135.703216865,823829,0.0000,1.0
2021-05-06,136.14,138.87,136.11,137.41,136.50789919,2020890,0.0000,1.0
2021-05-05,132.1,135.1,131.39,134.84,133.954771318,1179000,0.0000,1.0
2021-05-04,132.5,133.3,131.1,132.47,131.60033044,617800,0.0000,1.0
2021-05-03,131.02,133.21,130.86,132.08,131.212890802,584568,0.0000,1.0
2021-04-30,131.88,131.94,129.805,130.99,130.130046685,965541,0.0000,1.0
2021-04-29,130.45,133.04,130.45,131.94,131.073809906,767521,0.0000,1.0
2021-04-28,131.99,132.5,130.08,130.49,129.6333292,901813,0.0000,1.0
2021-04-27,129.78,131.11,129.665,131.04,130.179718433,939123,0.0000,1.0
2021-04-26,129.73,130.49,128.28,129.77,128.918056022,1028727,0.0000,1.0
2021-04-23,131.89,132.11,129.2,129.77,128.918056022,778554,0.0000,1.0
2021-04-22,133.26,133.4,131.88,132.11,131.242693851,732073,0.0000,1.0
2021-04-21,132.94,133.8,131.8,133.66,132.782518054,1178208,0.0000,1.0
2021-04-20,132.03,134.1189,132.0,132.51,131.640067839,1365297,0.0000,1.0
2021-04-19,132.13,132.68,130.18,132.15,131.28243125,670627,0.0000,1.0
2021-04-16,131.41,132.18,130.51,131.72,130.855254213,820298,0.0000,1.0
2021-04-15,129.0,131.08,129.0,130.79,129.931359691,576233,0.0000,1.0
2021-04-14,129.88,129.88,128.0236,129.07,128.222651543,835610,0.0000,1.0
2021-04-13,129.63,131.09,129.25,129.81,128.95779342,1176578,0.0000,1.0
2021-04-12,128.88,130.05,128.46,129.53,128.679631629,1238685,0.0000,1.0
2021-04-09,128.18,128.97,126.5,128.21,127.368297469,859020,0.0000,1.0
2021-04-08,127.26,128.38,127.045,128.13,127.288822671,1014936,0.0000,1.0
2021-04-07,128.3,128.65,127.03,127.85,127.01066088,724376,0.0000,1.0
2021-04-06,127.13,128.42,126.45,127.74,126.901383033,852365,0.0000,1.0
2021-04-05,126.51,128.481,125.73,127.09,126.255650303,676054,0.0000,1.0
2021-04-01,126.4,126.4,123.46,126.25,125.421164928,1413352,0.0000,1.0
2021-03-31,127.81,128.065,125.95,126.53,125.69932672,1029979,0.0000,1.0
2021-03-30,131.02,132.38,127.92,128.55,127.706065359,1777793,0.0000,1.0
2021-03-29,129.06,131.57,128.88,131.05,130.189652783,1084591,0.0000,1.0
2021-03-26,126.84,128.9,126.58,128.5,127.65639361,1116031,0.0000,1.0
2021-03-25,124.06,127.85,123.33,126.64,125.808604566,1312388,0.0000,1.0
2021-03-24,124.6,124.93,122.275,123.14,122.331582172,1142474,0.0000,1.0
2021-03-23,128.08,128.08,125.83,126.46,125.629786272,903463,0.0000,1.0
2021-03-22,125.17,127.3,124.94,127.25,126.414599898,1059030,0.0000,1.0
2021-03-19,123.99,127.62,123.835,126.39,125.560245824,2867314,0.0000,1.0
2021-03-18,123.98,125.31,123.45,123.94,123.126330148,1115287,0.0000,1.0
2021-03-17,123.84,124.695,122.958,124.12,123.305148443,1043356,0.0000,1.0
2021-03-16,122.0,123.84,121.75,123.31,122.500466117,1048682,0.0000,1.0
2021-03-15,121.8,122.87,121.28,122.12,121.318278503,772936,0.0000,1.0
