timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,33.64,33.76,33.36,33.53,33.53,144415,0.0000,1.0
2021-07-08,33.46,33.96,33.41,33.63,33.63,167010,0.0000,1.0
2021-07-07,33.45,33.85,33.17,33.68,33.68,176405,0.0000,1.0
2021-07-06,33.75,33.75,32.86,33.4,33.4,198796,0.0000,1.0
2021-07-02,33.69,33.71,33.33,33.64,33.64,132635,0.0000,1.0
2021-07-01,33.84,33.96,33.33,33.64,33.64,179682,0.0000,1.0
2021-06-30,34.13,34.22,33.82,33.91,33.91,164161,0.0000,1.0
2021-06-29,34.39,34.595,34.051,34.24,34.24,131336,0.0000,1.0
2021-06-28,34.51,34.87,34.2501,34.38,34.38,170502,0.0000,1.0
2021-06-25,34.23,34.47,34.01,34.39,34.39,849402,0.0000,1.0
2021-06-24,33.75,34.32,33.44,34.28,34.28,293108,0.0000,1.0
2021-06-23,33.36,33.46,33.03,33.23,33.23,149512,0.0000,1.0
2021-06-22,32.82,33.39,32.39,33.35,33.35,186551,0.0000,1.0
2021-06-21,32.23,33.01,31.97,32.94,32.94,327875,0.0000,1.0
2021-06-18,32.82,32.82,31.95,32.14,32.14,580824,0.0000,1.0
2021-06-17,32.53,32.97,32.13,32.83,32.83,260633,0.0900,1.0
2021-06-16,34.43,34.63,32.63,32.63,32.5407928311,465819,0.0000,1.0
2021-06-15,34.34,37.26,34.305,34.59,34.4954343864,528709,0.0000,1.0
2021-06-14,34.89,34.9398,34.29,34.38,34.2860085055,264380,0.0000,1.0
2021-06-11,34.28,34.76,33.91,34.71,34.6151063183,183987,0.0000,1.0
2021-06-10,34.87,34.895,34.09,34.35,34.2560905225,314387,0.0000,1.0
2021-06-09,34.12,35.34,33.48,34.86,34.7646962333,636496,0.0000,1.0
2021-06-08,33.31,33.52,32.68,33.49,33.3984416768,279946,0.0000,1.0
2021-06-07,33.41,33.65,32.59,33.05,32.959644593,227720,0.0000,1.0
2021-06-04,33.27,33.38,32.9004,33.25,33.1590978129,176195,0.0000,1.0
2021-06-03,33.4,33.96,32.62,33.21,33.1192071689,324426,0.0000,1.0
2021-06-02,31.63,33.7699,31.54,33.62,33.5280862697,795248,0.0000,1.0
2021-06-01,31.23,31.75,31.13,31.57,31.4836907655,166990,0.0000,1.0
2021-05-28,31.56,32.08,31.215,31.29,31.2044562576,203923,0.0000,1.0
2021-05-27,31.76,32.08,31.32,31.36,31.2742648846,231753,0.0000,1.0
2021-05-26,31.29,31.87,31.29,31.67,31.5834173755,147991,0.0000,1.0
2021-05-25,31.6,31.69,31.09,31.31,31.2244015796,181412,0.0000,1.0
2021-05-24,32.25,32.41,31.58,31.68,31.5933900365,181191,0.0000,1.0
2021-05-21,31.78,32.21,31.63,32.1,32.0122417983,2007857,0.0000,1.0
2021-05-20,31.66,32.06,31.55,31.69,31.6033626974,184633,0.0000,1.0
2021-05-19,31.96,32.075,31.52,31.73,31.6432533414,178139,0.0000,1.0
2021-05-18,32.16,32.38,31.93,32.04,31.9524058323,224716,0.0000,1.0
