timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,72.98,73.77,72.98,73.55,73.55,1430959,0.0000,1.0
2021-07-08,72.76,73.07,72.31,72.64,72.64,1364115,0.0000,1.0
2021-07-07,72.83,73.81,72.6,73.39,73.39,1530995,0.0000,1.0
2021-07-06,73.02,73.3,72.635,73.03,73.03,1911307,0.0000,1.0
2021-07-02,73.88,73.96,73.33,73.62,73.62,1047431,0.0000,1.0
2021-07-01,73.93,74.46,73.6501,73.84,73.84,1297974,0.0000,1.0
2021-06-30,73.4,73.85,73.105,73.76,73.76,1423672,0.0000,1.0
2021-06-29,73.83,74.21,73.16,73.32,73.32,1279159,0.0000,1.0
2021-06-28,74.56,74.79,73.33,73.6,73.6,1337880,0.0000,1.0
2021-06-25,74.3,74.56,73.63,74.5,74.5,1653564,0.0000,1.0
2021-06-24,73.67,74.465,73.26,74.28,74.28,1873860,0.0000,1.0
2021-06-23,74.39,74.5,73.82,73.83,73.83,1067798,0.0000,1.0
2021-06-22,73.91,74.84,73.69,74.21,74.21,2017038,0.0000,1.0
2021-06-21,73.0,73.62,72.72,73.57,73.57,1591972,0.0000,1.0
2021-06-18,73.38,73.41,72.19,72.76,72.76,3018033,0.0000,1.0
2021-06-17,74.64,74.86,73.47,73.88,73.88,2285661,0.0000,1.0
2021-06-16,75.69,75.8,74.4609,74.64,74.64,1935623,0.0000,1.0
2021-06-15,77.5,77.76,75.65,75.72,75.72,1643883,0.0000,1.0
2021-06-14,77.15,77.5,76.49,77.35,77.35,1204238,0.0000,1.0
2021-06-11,77.14,77.4,76.61,77.37,77.37,1307072,0.0000,1.0
2021-06-10,77.58,77.65,76.92,76.94,76.94,1189180,0.0000,1.0
2021-06-09,77.98,78.0,77.305,77.4,77.4,1415498,0.0000,1.0
2021-06-08,78.23,78.49,77.52,78.32,78.32,1869482,0.0000,1.0
2021-06-07,78.57,78.967,77.651,78.33,78.33,1401431,0.0000,1.0
